,Y1,Cheese hotate yaki,Grilled scallop with mushroom & cheese,チーズホタテ焼き,Sò điệp nướng với sốt nấm & phô mai,,,,278000,,2,11,NULL,NULL,NULL
,Y2,Tori teriyaki,Grilled teriyaki chicken,照り焼きチキン,Thịt gà nướng sốt teriyaki,,,,98000,,2,11,NULL,NULL,NULL
,Y4,Ika kimchi yaki,Grilled squid with kimchi,いかのキムチ焼き,Mực nướng nhồi kimchi,,,,168000,,2,11,NULL,NULL,NULL
,Y5,Spicy ika yaki,Spicy grilled squid,いかのスパイシー焼き,Mực nướng cay,,,,158000,,2,11,NULL,NULL,NULL
,Y6,Unagi teriyaki,Grilled Japanese eel with teriyaki sauce,うなぎの照り焼き,Lươn Nhật nướng sốt teriyaki,,,,498000,,2,11,NULL,NULL,NULL
,Y7,Kamoniku Yaki,Grilled duck breast,鴨胸肉焼き,Ức vịt nướng sốt,,,,148000,,2,11,NULL,NULL,NULL
,Y8,Sanma shioyaki,Grilled Japanese saury with salt,さんまの塩焼き,Cá sanma nướng muối,,,,78000,,2,11,NULL,NULL,NULL
,Y9,Amadai shioyaki,Grilled horsehead fish with salt,甘だいの塩焼き,Cá đầu vuông nướng muối,,,,198000,,2,11,NULL,NULL,NULL
,Y10,Amadai misoyaki,Horsehead fish misoyaki sauce,味噌焼き,Cá đầu vuông sốt misoyaki,,,,198000,,2,11,NULL,NULL,NULL
,Y11,Gindara shioyaki,Grilled codfish fillet with salt,銀だらの塩焼き,Cá tuyết Nhật nướng muối,,,,298000,,2,11,NULL,NULL,NULL
,Y12,Gindara teriyaki,Grilled codfish fillet with teriyaki sauce,照り焼き,Cá tuyết Nhật sốt teriyaki,,,,298000,,2,11,NULL,NULL,NULL
,Y13,Gindara misoyaki,Grilled codfish fillet with miso sauce,銀だらの味噌焼き,Cá tuyết Nhật nướng sốt misoyaki,,,,318000,,2,11,NULL,NULL,NULL
,Y14,Saba shioyaki,Grilled saba fillet with salt,さばの塩焼き,Cá saba nướng muối,,,,118000,,2,11,NULL,NULL,NULL
,Y15,Saba teriyaki,Grilled saba fillet with teriyaki sauce,照り焼き,Cá saba sốt teriyaki,,,,118000,,2,11,NULL,NULL,NULL
,Y17,Hokke shioyaki,Grilled atka mackerel with salt,ほっけの塩焼き,Cá thu atka biển nướng muối,,,,198000,,2,11,NULL,NULL,NULL
,Y18,Hokke misoyaki,Grilled atka mackerel with miso sauce,味噌焼き,Cá thu atka biển sốt misoyaki,,,,198000,,2,11,NULL,NULL,NULL
,Y19,Shishamo shioyaki,Grilled shisyamo smelt with salt,ししゃもの塩焼き,Cá trứng nướng muối,,,,78000,,2,11,NULL,NULL,NULL
,Y20,Kinki shioyaki,Grilled Japanese thornhead with salt,きんきの塩焼き,Cá kinki Nhật nướng muối,,,,998000,,2,11,NULL,NULL,NULL
,Y21,Kanpachi Kabu to Shioyaki,Grilled yellowtail with salt,はまちかまの塩焼き,Đầu cá cam Nhật muối,,,,298000,,2,11,NULL,NULL,NULL
,Y22,Kanpachi Kabu to  Teriyaki,Grilled yellowtail with teriyaki sauce,照り焼き,Đầu cá cam Nhật nướng sốt teriyaki,,,,298000,,2,11,NULL,NULL,NULL
,Y23,Sake shioyaki,Grilled salmon fillet with salt,鮭の塩焼き,Cá hồi nướng sốt teriyaki,,,,148000,,2,11,NULL,NULL,NULL
,Y24,Sake teriyaki,Grilled salmon fillet with teriyaki sauce,照り焼き,Cá hồi nướng muối,,,,148000,,2,11,NULL,NULL,NULL
,Y25,Sake toro shioyaki,,鮭とろ塩焼き,Bụng cá hồi nướng muối,,,,328000,,2,11,NULL,NULL,NULL
,Y26,Sake kabu to shioyaki,Grilled salmon head with salt,鮭かまの塩焼き,Đầu cá hồi nướng muối,,,,198000,,2,11,NULL,NULL,NULL
,Y27,Sake kabu to teriyaki,Grilled salmon head with teriyaki sauce,照り焼き,Đầu cá hồi nướng sốt teriyaki,,,,198000,,2,11,NULL,NULL,NULL
,Y28,Hotate mentai yaki,Grilled scallop with mentaiko sauce,ほたての明太子焼き,Sò điệp nướng với sốt trứng cá tuyết,,,,128000,,2,11,NULL,NULL,NULL
,Y29,Gyu steak,Grilled USA tenderloin steak,USA牛ステーキ,Thăn nội bò Mỹ nướng mọi,,,,178000,,2,11,NULL,NULL,NULL
,Y30,Gyu steak BBQ sauce,Grilled USA tenderloin steak with BBQ sauce,USA牛ステーキのＢＢＱソース味,Sườn bò Mỹ nướng sốt BBQ,,,,178000,,2,11,NULL,NULL,NULL
,Y31,Enoki Gyu maki,Grilled USA beef tenderloin wrapped enoki mushroom,えのきの牛肉焼き,Thăn nội bò Mỹ nướng cuộn nấm kim châm,,,,108000,,2,11,NULL,NULL,NULL
,Y32,Gyu tan yaki,Grilled beef tongue,牛タン,Lưỡi bò nướng,,,,178000,,2,11,NULL,NULL,NULL
,Y33,Wagyu yaki,Grilled wagyu beef,和牛焼き,Bò wagyu Nhật nướng,,,,898000,,2,11,NULL,NULL,NULL
,Y34,Kaki tobiko yaki,Grilled oyster with tobiko sauce,牡蠣のとびこ焼き,Hào nướng với trứng cá chuồn,,,,78000,,2,11,NULL,NULL,NULL
,Y35,Kaki mentai yaki,Grilled oyster with mentaiko sauce,牡蠣の明太子焼き,Hào nướng với sốt trứng cá tuyết,,,,188000,,2,11,NULL,NULL,NULL
,Y36,Ebi Karayaki,Grilled king prawn with karayaki sauce,えびの殻焼き,Tôm vua nướng với sốt karayaki,,,,258000,,2,11,NULL,NULL,NULL
,Y37,Ebi mentai yaki,Grilled king prawn with mentaiko sauce,えびの明太子焼き,Tôm vua nướng với sốt trứng cá tuyết,,,,298000,,2,11,NULL,NULL,NULL
,Y38,Yaki buta okura,Grilled pork with okura,焼き豚とおくら,Thịt heo nướng cuộn đậu bắp,,,,42000,,2,11,NULL,NULL,NULL
,Y39,Hotate buta kushi yaki,Grilled pork belly with scallop skewer,ほたてと豚ばらの串焼き,Ba rọi heo cuộn sò điệp nướng xiên,,,,78000,,2,11,NULL,NULL,NULL
,Y40,Uzura buta kushi yaki,Grilled pork belly with quail egg skewer,うずらと豚ばらの串焼き,Ba rọi heo cuộn trứng cút nướng xiên,,,,42000,,2,11,NULL,NULL,NULL
,Y41,Cheese unagi kushi yaki,Grilled sea eel with cheese skewer,チーズとうなぎの串焼き,Lươn Nhật nướng phô mai xiên,,,,98000,,2,11,NULL,NULL,NULL
,Y42,Cheese salmon kushi yaki,Grilled salmon with cheese skewer,チーズとサーモンの串焼き,Cá hồi nướng phô mai xiên,,,,88000,,2,11,NULL,NULL,NULL
,Y43,Mentai sake kushi yaki,Grilled salmon with mentaiko sauce,明太子サーモンの串焼き,Cá hồi nướng với sốt trứng cá tuyết,,,,158000,,2,11,NULL,NULL,NULL
,Y44,Okura kushi yaki,Grilled okra skewer,おくらの串焼き,Đậu bắp nướng xiên,,,,48000,,2,11,NULL,NULL,NULL
,Y45,Sake kawa shioyaki,Grilled salmon skin with salt,鮭皮の塩焼き,Da cá hồi nướng muối,,,,98000,,2,11,NULL,NULL,NULL
,Y46,Foie gras yaki,Grilled foie gras,フォアグラ焼き,Gan ngỗng nướng,,,,298000,,2,11,NULL,NULL,NULL
,Y47,Ika shoga yaki,Grilled squid with ginger sauce,いかの生姜焼き,Mực nướng gừng và sốt mirin,,,,178000,,2,11,NULL,NULL,NULL
,Z1,Tsukune yaki,Bamboo cylinder meatball served with egg yolk,つくね焼き,Thịt viên ống tre chấm trứng,,,,108000,,2,11,NULL,NULL,NULL
,,Hotate Cream sauce yaki,Grilled Scallop with cream sauce,ほたてのクリームソース焼き,Sò điệp nướng với sốt kem,,,,298000,,2,11,NULL,NULL,NULL
,,Akai Sakana Fire,,,Cá Hồng Nhật nướng,,,,218000,,2,11,NULL,NULL,NULL
,,Marodai Shioyaki,Grilled Mairo Sea bream with salt,まろ鯛の塩焼き,Cá Marodai nướng muối,,,,188000,,2,11,NULL,NULL,NULL
,,Wagyu Fuji Yaki,Wagyu Steak,和牛焼き,Bò Nhật nướng,,,,398000,,2,11,NULL,NULL,NULL
,,Kaki cheese Yaki,Grilled Oyster cheese,牡蠣のチーズ焼き,Hào sữa Nhật nướng phô mai,,,,78000,,2,11,NULL,NULL,NULL
