,TM1,Ebi tempura,Shrimp tempura & seasoned flying fish roe ,えび天,Cuộn tôm chiên và trứng cá chuồn,,,,58000,,2,7,NULL,NULL,NULL
,TM2,Sake kawa,Fried salmon skin ,鮭皮,Cuộn da cá hồi chiên,,,,68000,,2,7,NULL,NULL,NULL
,TM3,Maguro avocado,Tuna & avocado,まぐろアボカド,Cuộn cá ngừ và bơ,,,,48000,,2,7,NULL,NULL,NULL
,TM4,Sake ikura,Fresh salmon & salmon roe,サーモンいくら,Cuộn cá hồi và trứng cá hồi,,,,98000,,2,7,NULL,NULL,NULL
,TM5,Spider karaage,Soft-shell crab,スパイダーから揚げ,Cuộn cua lột chiên,,,,88000,,2,7,NULL,NULL,NULL
,,Unagi Avacado,,鰻アボカド,Cuộn lươn Nhật và bơ,,,,118000,,2,7,NULL,NULL,NULL
,,Sake Avacado,,サーモンアボカド,Cơm cuộn cá hồi và bơ,,,,78000,,2,7,NULL,NULL,NULL
,,Kanpachi goma,,かんぱち,Cơm cuộn với cá cam và sốt mè,,,,88000,,2,7,NULL,NULL,NULL
,,Maguro wasabi,,まぐろわさび,Cơm cuộn với cá ngừ và wasabi,,,,78000,,2,7,NULL,NULL,NULL
,,Ebi Tobiko,,甘海老とびこ,Cơm cuộn với tôm và trướng cá chuồn,,,,88000,,2,7,NULL,NULL,NULL
,,Kani,,かに,Cơm cuộn với thanh cua ,,,,58000,,2,7,NULL,NULL,NULL
,,Awabi,,日本産あわび,Cơm cuộn với bào ngư,,,,298000,,2,7,NULL,NULL,NULL
,,Unagi cheese,,うなぎチーズ,Cơm cuộn với lươn Nhật và phô mai,,,,88000,,2,7,NULL,NULL,NULL
,,Wagyu,,和牛,Cơm cuộn với bò Nhật,,,,88000,,2,7,NULL,NULL,NULL
